"","age","age2","female","clase","p6210","relab","p6210s1","college","cotPension","cuentaPropia","estrato1","fex_c","formal","fweight","hoursWorkUsual","inglabo","ingtot","impa","isa","maxEducLevel","mes","microEmpresa","oficio","p6050","p6426","y_ingLab_m","y_ingLab_m_ha","y_salarySec_m","y_salary_m_hu","y_total_m","y_total_m_ha"
"2582",28,784,1,1,6,1,2,0,1,0,1,257.896673473791,1,258,48,1002786.33333333,1037786.33333333,1002786.33333333,0,7,2,0,39,3,4,1002786.3125,4874.65576171875,NA,3797.7041015625,1002786.3125,4874.65576171875
"2583",27,729,1,1,6,3,2,0,1,0,2,525.60049696089,1,526,48,998000,998000,998000,0,7,2,1,54,2,3,998000,4851.388671875,NA,4569.4443359375,998000,4851.388671875
"2584",46,2116,1,1,3,4,5,0,2,1,3,218.091600565805,0,218,50,7e+05,750000,7e+05,0,4,2,1,54,1,156,NA,NA,NA,NA,7e+05,3266.66674804688
"2585",19,361,0,1,6,1,0,0,2,0,3,218.091600565805,0,218,8,1e+05,196000,1e+05,0,7,2,1,59,3,12,1e+05,2916.66674804688,NA,2916.66674804688,1e+05,2916.66674804688
"2586",41,1681,0,1,3,4,3,0,2,1,2,223.894317123774,0,224,40,0,1300000,0,0,3,2,1,81,1,180,NA,NA,NA,NA,NA,NA
"2587",40,1600,1,1,4,1,9,0,2,0,2,223.894317123774,0,224,48,3e+05,4e+05,3e+05,0,5,2,1,16,2,48,3e+05,1458.33337402344,NA,1458.33337402344,3e+05,1458.33337402344
"2588",28,784,1,1,5,1,11,1,1,0,2,223.894317123774,1,224,48,930929.416666667,930929.416666667,930929.416666667,0,6,2,0,33,5,60,930929.4375,4525.3515625,NA,3797.7041015625,930929.4375,4525.3515625
"2589",37,1369,1,1,5,1,11,1,1,0,2,225.494674107657,1,225,48,1160929.41666667,1160929.41666667,1160929.41666667,0,6,2,0,97,3,60,1160929.375,5643.40673828125,NA,3797.7041015625,1160929.375,5643.40673828125
"2590",52,2704,1,1,6,1,5,0,1,0,4,212.15194600022,1,212,40,9e+06,9e+06,9e+06,0,7,2,0,2,1,4,9e+06,52500,NA,52500,9e+06,52500
"2591",53,2809,0,1,6,1,3,0,1,0,3,209.813242554956,1,210,48,4116666.66666667,4116666.66666667,4116666.66666667,0,7,2,0,3,1,336,4116666.75,20011.57421875,NA,18472.22265625,4116666.75,20011.57421875
"2592",49,2401,1,1,6,1,2,0,1,0,2,218.091600565805,1,218,48,917211,917211,917211,0,7,2,0,39,1,5,917211,4458.66455078125,NA,3888.88891601562,917211,4458.66455078125
"2593",53,2809,1,1,3,3,2,0,1,0,2,259.447568904764,1,259,60,930929.416666667,1230929.41666667,930929.416666667,0,3,2,1,54,2,48,930929.4375,3620.28125,NA,3038.16333007812,930929.4375,3620.28125
